अ,ə
शरई,ʃ ə ɾ ə iː
शरच्-,ʃ ə ɾ ə t͡ʃ -
शरण,ʃ ə ɾ ə n
शरण्य,ʃ ə ɾ ə n j ə
शरत्,ʃ ə ɾ ə t̪
शरद्,ʃ ə ɾ ə d̪
शरप्पा,ʃ ə ɾ ə p p ɑː
शरबत,ʃ ə ɾ b ə t̪
शरबती,ʃ ə ɾ b ə t̪ iː
शरम,ʃ ə ɾ m
शरमाना,ʃ ə ɾ m ɑː n ɑː
शरमिंदगी,ʃ ə ɾ m ɪ n d̪ ə g iː
शरमिंदा,ʃ ə ɾ m ɪ n d̪ ɑː
शरमीला,ʃ ə ɾ m iː l ɑː
शरह,ʃ ə ɾ ɦ
शराकत,ʃ ə ɾ ɑː k ə t̪
शराटि,ʃ ə ɾ ɑː ʈ ɪ
शराफ़त,ʃ ə ɾ ɑː f ə t̪
शराब,ʃ ə ɾ ɑː b
शराबी,ʃ ə ɾ ɑː b iː
शराबीपन,ʃ ə ɾ ɑː b iː p ə n
शराबोर,ʃ ə ɾ ɑː b oː ɾ
शरारत,ʃ ə ɾ ɑː ɾ ə t̪
शरारतन,ʃ ə ɾ ɑː ɾ ə t̪ ə n
शरारती,ʃ ə ɾ ɑː ɾ ə t̪ iː
शराव,ʃ ə ɾ ɑː ʋ
शरीअत,ʃ ə ɾ iː ə t̪
शरीक,ʃ ə ɾ iː k
शरीफ़,ʃ ə ɾ iː f
शरीफ़ा,ʃ ə ɾ iː f ɑː
शरीर,ʃ ə ɾ iː ɾ
शरीर,ʃ ə ɾ iː ɾ
शरीरी,ʃ ə ɾ iː ɾ iː
शर्करा,ʃ ə ɾ k ə ɾ ɑː
शर्करा,ʃ ə ɾ k ə ɾ ɑː
शर्क़ी,ʃ ə ɾ q iː
शर्त,ʃ ə ɾ t̪
शर्तिया,ʃ ə ɾ t̪ ɪ j ɑː
शर्म,ʃ ə ɾ m
शर्मा,ʃ ə ɾ m ɑː
शर्माना,ʃ ə ɾ m ɑː n ɑː
शर्मालु,ʃ ə ɾ m ɑː l ʊ
शर्मिंदगी,ʃ ə ɾ m ɪ n d̪ ə g iː
शर्मिंदा,ʃ ə ɾ m ɪ n d̪ ɑː
शर्मीला,ʃ ə ɾ m iː l ɑː
शर्राटा,ʃ ə ɾ ɾ ɑː ʈ ɑː
शर्वरी,ʃ ə ɾ ʋ ə ɾ iː
शल,ʃ ə l
शल,ʃ ə l
शलग़म,ʃ ə l ɣ ə m
शलजम,ʃ ə l d͡ʒ ə m
शलभ,ʃ ə l ə bʱ
शलवार,ʃ ə l ʋ ɑː ɾ
शलाका,ʃ ə l ɑː k ɑː
शलूका,ʃ ə l uː k ɑː
शल्य,ʃ ə l j ə
शल्लकी,ʃ ə l l ə k iː
शव,ʃ ə ʋ
शवता,ʃ ə ʋ ə t̪ ɑː
शवरी,ʃ ə ʋ ə ɾ iː
शश,ʃ ə ʃ
शश-,ʃ ə ʃ -
शशक,ʃ ə ʃ ə k
शशि,ʃ ə ʃ ɪ
शशी,ʃ ə ʃ iː
शस्त्र,ʃ ə s t̪ ɾ ə
शस्य,ʃ ə s j ə
शहंशाह,ʃ ə ɦ ə n ʃ ɑː ɦ
शहंशाही,ʃ ə ɦ ə n ʃ ɑː ɦ iː
शह,ʃ ə ɦ
शह-,ʃ ə ɦ -
शहद,ʃ ə ɦ d̪
शहना,ʃ ə ɦ n ɑː
शहनाई,ʃ ə ɦ n ɑː iː
शहर,ʃ ə ɦ ɾ
शहाराती,ʃ ə ɦ ɾ ɑː t̪ iː
शहरियत,ʃ ə ɦ ɾ ɪ j ə t̪
शहरी,ʃ ə ɦ ɾ iː
शहादत,ʃ ə ɦ ɑː d̪ ə t̪
शहाब,ʃ ə ɦ ɑː b
शहीद,ʃ ə ɦ iː d̪
शांत,ʃ ɑː n t̪
शांतता,ʃ ɑː n t̪ ə t̪ ɑː
शांति,ʃ ɑː n t̪ ɪ
शांबरी,ʃ ɑː m b ə ɾ iː
शांबुक,ʃ ɑː m b ʊ k
शांकभरीय,ʃ ɑː k ə m bʱ ə ɾ iː j ə
शाक,ʃ ɑː k
शाक,ʃ ɑː k
साकल,ʃ ɑː k ə l
शकिनी,ʃ ɑː k ɪ n iː
शाकिर,ʃ ɑː k ɪ ɾ
शाकी,ʃ ɑː k iː
शाक्त,ʃ ɑː k t̪
शाक्य,ʃ ɑː k j ə
शाख़,ʃ ɑː x
शाखा,ʃ ɑː kʰ ɑː
शाखी,ʃ ɑː kʰ iː
शागिर्द,ʃ ɑː g ɪ ɾ d̪
शागिर्दी,ʃ ɑː g ɪ ɾ d̪ iː
शाटिका,ʃ ɑː ʈ ɪ k ɑː
शाठय,ʃ ɑː ʈʰ j ə
शाण,ʃ ɑː n
शाण,ʃ ɑː n
शातिर,ʃ ɑː t̪ ɪ ɾ
शाद,ʃ ɑː d̪
शादियाना,ʃ ɑː d̪ ɪ j ɑː n ɑː
शादी,ʃ ɑː d̪ iː
शान,ʃ ɑː n
शान,ʃ ɑː n
शाना,ʃ ɑː n ɑː
शाप,ʃ ɑː p
शापना,ʃ ɑː p n ɑː
शापित,ʃ ɑː p ɪ t̪
शाबाश,ʃ ɑː b ɑː ʃ
शाबाशी,ʃ ɑː b ɑː ʃ iː
शाब्दिक,ʃ ɑː b d̪ ɪ k
शाम,ʃ ɑː m
शाम,ʃ ɑː m
शाम,ʃ ɑː m
शामत,ʃ ɑː m ə t̪
शामती,ʃ ɑː m ə t̪ iː
शामन,ʃ ɑː m ə n
शामियाना,ʃ ɑː m ɪ j ɑː n ɑː
शामिल,ʃ ɑː m ɪ l
शामिलात,ʃ ɑː m ɪ l ɑː t̪
शामी,ʃ ɑː m iː
शायक,ʃ ɑː j ə k
शायद,ʃ ɑː j ə d̪
शायर,ʃ ɑː j ɾ
शायरनी,ʃ ɑː j ɾ n iː
शायरा,ʃ ɑː j ɾ ɑː
शायराना,ʃ ɑː j ɾ ɑː n ɑː
शायरी,ʃ ɑː j ɾ iː
शाया,ʃ ɑː j ɑː
शार,ʃ ɑː ɾ
शार,ʃ ɑː ɾ
शारंगी,ʃ ɑː ɾ ə ŋ g iː
शारद,ʃ ɑː ɾ ə d̪
शारदा,ʃ ɑː ɾ ə d̪ ɑː
शारदीय,ʃ ɑː ɾ ə d̪ iː j ə
शारी,ʃ ɑː ɾ iː
शारीर,ʃ ɑː ɾ iː ɾ
शारीरक,ʃ ɑː ɾ iː ɾ ə k
शरीरिक,ʃ ɑː ɾ iː ɾ ɪ k
शार्दूल,ʃ ɑː ɾ d̪ uː l
शाल,ʃ ɑː l
शाल,ʃ ɑː l
शाला,ʃ ɑː l ɑː
शालि-,ʃ ɑː l ɪ -
-शालिनी,- ʃ ɑː l ɪ n iː
-शाली,- ʃ ɑː l iː
शालीन,ʃ ɑː l iː n
शालीनता,ʃ ɑː l iː n ə t̪ ɑː
शालेय,ʃ ɑː l eː j ə
शाल्मली,ʃ ɑː l m ə l iː
शावक,ʃ ɑː ʋ ə k
शाश्वत,ʃ ɑː ʃ ʋ ə t̪
शाश्वतता,ʃ ɑː ʃ ʋ ə t̪ ə t̪ ɑː
शासक,ʃ ɑː s ə k
शासकीय,ʃ ɑː s ə k iː j ə
शासन,ʃ ɑː s ə n
शासनिक,ʃ ɑː s ə n ɪ k
शासनी,ʃ ɑː s ə n iː
शासनीय,ʃ ɑː s ə n iː j ə
शासित,ʃ ɑː s ɪ t̪
शासी,ʃ ɑː s iː
शास्ति,ʃ ɑː s t̪ ɪ
शास्त्र,ʃ ɑː s t̪ ɾ ə
शास्त्री,ʃ ɑː s t̪ ɾ iː
शास्त्रीय,ʃ ɑː s t̪ ɾ iː j ə
शाह,ʃ ɑː ɦ
शाहानां,ʃ ɑː ɦ ɑː n ɑː
शाही,ʃ ɑː ɦ iː
शाहीन,ʃ ɑː ɦ iː n
शिकंजा,ʃ ɪ k ə n ɑː
शिकन,ʃ ɪ k ə n
शिकमी,ʃ ɪ k m iː
शिकारा,ʃ ɪ k ɾ ɑː
शिकवा,ʃ ɪ k ʋ ɑː
शिकस्त,ʃ ɪ k ə s t̪
शिकस्ता,ʃ ɪ k ə s t̪ ɑː
शिकाकाई,ʃ ɪ k ɑː k ɑː iː
शिकायत,ʃ ɪ k ɑː j ə t̪
शिकायती,ʃ ɪ k ɑː j ə t̪ iː
शिकार,ʃ ɪ k ɑː ɾ
शिकारा,ʃ ɪ k ɑː ɾ ɑː
शिकारी,ʃ ɪ k ɑː ɾ iː
शिकारी,ʃ ɪ k ɑː ɾ iː
शिक्षक,ʃ ɪ k ʃ ə k
शिक्षण,ʃ ɪ k ʃ ə n
शिक्षणीय,ʃ ɪ k ʃ ə n iː j ə
शिक्षा,ʃ ɪ k ʃ ɑː
शिक्षित,ʃ ɪ k ʃ ɪ t̪
शिक्षु,ʃ ɪ k ʃ ʊ
शिखंड,ʃ ɪ kʰ ə n ɖ
शिखंडिका,ʃ ɪ kʰ ə n ɖ ɪ k ɑː
शिखंडी,ʃ ɪ kʰ ə n ɖ iː
शिखंडी,ʃ ɪ kʰ ə n ɖ iː
शिखर,ʃ ɪ kʰ ə ɾ
शिखरी,ʃ ɪ kʰ ə ɾ iː
शिखा,ʃ ɪ kʰ ɑː
शिखी,ʃ ɪ kʰ iː
शिगाफ़,ʃ ɪ g ɑː f
शिग़ाल,ʃ ɪ ɣ ɑː l
शिगूफ़ा,ʃ ɪ g uː f ɑː
शिंजिन,ʃ ɪ n ɪ n
शिति,ʃ ɪ t̪ ɪ
शिथिल,ʃ ɪ t̪ʰ ɪ l
शिथिलता,ʃ ɪ t̪ʰ ɪ l ə t̪ ɑː
शिथिला-,ʃ ɪ t̪ʰ ɪ l ɑː -
शिथिलित,ʃ ɪ t̪ʰ ɪ l ɪ t̪
शिद्दत,ʃ ɪ d̪ d̪ ə t̪
शिनाख़्त,ʃ ɪ n ɑː x t̪
शिफ़ा,ʃ ɪ f ɑː
शिया,ʃ ɪ j ɑː
शियाई,ʃ ɪ j ɑː iː
शिर,ʃ ɪ ɾ
शिरकत,ʃ ɪ ɾ k ə t̪
शिरस्-,ʃ ɪ ɾ ə s -
शिरा,ʃ ɪ ɾ ɑː
शिराल,ʃ ɪ ɾ ɑː l
शिरीष,ʃ ɪ ɾ iː ʃ
शिरो-,ʃ ɪ ɾ oː -
शिला,ʃ ɪ l ɑː
शिली,ʃ ɪ l iː
शिलीभूत,ʃ ɪ l iː bʱ uː t̪
शिल्प,ʃ ɪ l p
शिल्पिक,ʃ ɪ l p ɪ k
शिल्पिता,ʃ ɪ l p ɪ t̪ ɑː
शिल्पी,ʃ ɪ l p iː
शिव,ʃ ɪ ʋ
शिवता,ʃ ɪ ʋ ə t̪ ɑː
शिवा,ʃ ɪ ʋ ɑː
शिवानी,ʃ ɪ ʋ ɑː n iː
शिवाला,ʃ ɪ ʋ ɑː l ɑː
शिविका,ʃ ɪ ʋ ɪ k ɑː
शिविर,ʃ ɪ ʋ ɪ ɾ
शिशिर,ʃ ɪ ʃ ɪ ɾ
शिशु,ʃ ɪ ʃ ʊ
शिशुक,ʃ ɪ ʃ ʊ k
शिशुता,ʃ ɪ ʃ ʊ t̪ ɑː
शिशुत्व,ʃ ɪ ʃ ʊ t̪ ʋ ə
शिशुपन,ʃ ɪ ʃ ʊ p ə n
शिश्न,ʃ ɪ ʃ n
शिष्ट,ʃ ɪ ʃ ʈ
शिष्टता,ʃ ɪ ʃ ʈ ə t̪ ɑː
शिष्य,ʃ ɪ ʃ j ə
शिष्यता,ʃ ɪ ʃ j ə t̪ ɑː
शिस्त,ʃ ɪ s t̪
शीआ,ʃ iː ɑː
शीकर,ʃ iː k ə ɾ
शीघ्र,ʃ iː gʱ ɾ ə
शीघ्रता,ʃ iː gʱ ɾ ə t̪ ɑː
शीत,ʃ iː t̪
शीतता,ʃ iː t̪ ə t̪ ɑː
शीतल,ʃ iː t̪ ə l
शीतलता,ʃ iː t̪ ə l ə t̪ ɑː
शीतलताई,ʃ iː t̪ ə l ə t̪ ɑː iː
शीतला,ʃ iː t̪ ə l ɑː
शीर-,ʃ iː ɾ -
शीरा,ʃ iː ɾ ɑː
शीराज़ा,ʃ iː ɾ ɑː z ɑː
शीरनी,ʃ iː ɾ n iː
शीरीन,ʃ iː ɾ iː n
शीरीनी,ʃ iː ɾ iː n iː
शीर्ण,ʃ iː ɾ n
शीर्णता,ʃ iː ɾ n ə t̪ ɑː
शीर्ष,ʃ iː ɾ ʃ
शीर्षक,ʃ iː ɾ ʃ ə k
शील,ʃ iː l
शीलता,ʃ iː l ə t̪ ɑː
शीश-,ʃ iː ʃ -
शीश-,ʃ iː ʃ -
शीशम,ʃ iː ʃ ə m
शीशा,ʃ iː ʃ ɑː
शीशी,ʃ iː ʃ iː
शीशों,ʃ iː ʃ oː ~
शीशो,ʃ iː ʃ oː
शुंठ,ʃ ʊ n ʈʰ
शुंठी,ʃ ʊ n ʈʰ iː
शुंड,ʃ ʊ n ɖ
शुंभ,ʃ ʊ m bʱ ə
शुक,ʃ ʊ k
शुक्ति,ʃ ʊ k t̪ ɪ
शुक्र,ʃ ʊ k ɾ
शुक्र,ʃ ʊ k ɾ
शुक्रिया,ʃ ʊ k ɾ ɪ j ɑː
शुक्ल,ʃ ʊ k l ə
शुक्लता,ʃ ʊ k l ə t̪ ɑː
शुगन,ʃ ʊ g ə n
शुग़ल,ʃ ʊ ɣ l
शुगून,ʃ ʊ g uː n
शुचि,ʃ ʊ t͡ʃ ɪ
शुचित,ʃ ʊ t͡ʃ ɪ t̪
शुचिता,ʃ ʊ t͡ʃ ɪ t̪ ɑː
शुतुर,ʃ ʊ t̪ ʊ ɾ
शुदकार,ʃ ʊ d̪ k ɑː ɾ
-शुदा,- ʃ ʊ d̪ ɑː
शुद्ध,ʃ ʊ d̪ d̪ʱ
शुद्धता,ʃ ʊ d̪ d̪ʱ ə t̪ ɑː
शुद्धि,ʃ ʊ d̪ d̪ʱ ɪ
शुद्धीकरण,ʃ ʊ d̪ d̪ʱ iː k ə ɾ ə n
सुबहा,s ʊ b ɦ ɑː
शुभ,ʃ ʊ bʱ
शुभ्र,ʃ ʊ bʱ ɾ ə
शुभ्रता,ʃ ʊ bʱ ɾ ə t̪ ɑː
शुमार,ʃ ʊ m ɑː ɾ
शुमारी,ʃ ʊ m ɑː ɾ iː
शुमाल,ʃ ʊ m ɑː l
शुरवाल,ʃ ʊ ɾ ʋ ɑː l
शुरुआत,ʃ ʊ ɾ ʊ ɑː t̪
शुरुआती,ʃ ʊ ɾ ʊ ɑː t̪ iː
शुरू,ʃ ʊ ɾ uː
शुल्क,ʃ ʊ l k
शुश,ʃ ʊ ʃ
शुशकारना,ʃ ʊ ʃ k ɑː ɾ n ɑː
शुष्क,ʃ ʊ ʃ k
शुष्कता,ʃ ʊ ʃ k ə t̪ ɑː
शूक-,ʃ uː k
शूकर,ʃ uː k ə ɾ
शूकरी,ʃ uː k ə ɾ iː
शूद्र,ʃ uː d̪ ɾ ə
शूद्रता,ʃ uː d̪ ɾ ə t̪ ɑː
शूद्राणी,ʃ uː d̪ ɾ ɑː n iː
शून्य,ʃ uː n j ə
शून्यता,ʃ uː n j ə t̪ ɑː
शून्यत्व,ʃ uː n j ə t̪ ʋ ə
शूर,ʃ uː ɾ
शूरण,ʃ uː ɾ ə n
शूरता,ʃ uː ɾ ə t̪ ɑː
शूर्प,ʃ uː ɾ p
शूर्पी,ʃ uː ɾ p iː
शूल,ʃ uː l
शूली,ʃ uː l iː
शृंखल,ʃ ɾ ɪ ~ kʰ ə l
शृंखला,ʃ ɾ ɪ ~ kʰ ə l ɑː
शृखलित,ʃ ɾ ɪ ~ kʰ ə l ɪ t̪
शृंग,ʃ ɾ ɪ ŋ g
शृंगार,ʃ ɾ ɪ ŋ g ɑː ɾ
शृंगारिक,ʃ ɾ ɪ ŋ g ɑː ɾ ɪ k
शृंगारिकता,ʃ ɾ ɪ ŋ g ɑː ɾ ɪ k ə t̪ ɑː
शृंगारी,ʃ ɾ ɪ ŋ g ɑː ɾ iː
शृगाल,ʃ ɾ ɪ g ɑː l
शृंगी,ʃ ɾ ɪ ŋ g iː
शेख़,ʃ eː x
शेखर,ʃ eː kʰ ə ɾ
शेख़ी,ʃ eː x iː
शेफाली,ʃ eː pʰ ɑː l iː
शेर,ʃ eː ɾ
शेर,ʃ eː ɾ
शेरनी,ʃ eː ɾ n iː
शेराना,ʃ eː ɾ ɑː n ɑː
शेरी,ʃ eː ɾ iː
शेवाल,ʃ eː ʋ ɑː l
शेष,ʃ eː ʃ
शै,ʃ ɛː
शै,ʃ ɛː
शैक्षणिक,ʃ ɛː k ʃ ə n ɪ k
शैक्षिक,ʃ ɛː k ʃ ɪ k
शैक्ष्य,ʃ ɛː k ʃ j ə
शैतान,ʃ ɛː t̪ ɑː n
शैतानी,ʃ ɛː t̪ ɑː n iː
शैत्य,ʃ ɛː t̪ j ə
शैथिल्य,ʃ ɛː t̪ʰ ɪ l j ə
शैदा,ʃ ɛː d̪ ɑː
शैदाई,ʃ ɛː d̪ ɑː iː
शैल,ʃ ɛː l
शैली,ʃ ɛː l iː
शैलेय,ʃ ɛː l eː j
शैव,ʃ ɛː ʋ
शैवाल,ʃ ɛː ʋ ɑː l
शैशव,ʃ ɛː ʃ ə ʋ
शोआ,ʃ oː ɑː
शोक,ʃ oː k
शोकी,ʃ oː k iː
शोख़,ʃ oː x
शोख़ी,ʃ oː x iː
शोच,ʃ oː t͡ʃ
शोचन,ʃ oː t͡ʃ ə n
शोचनीय,ʃ oː t͡ʃ ə n iː j ə
शोचित,ʃ oː t͡ʃ ɪ t̪
शोणित,ʃ oː n ɪ t̪
शोथ,ʃ oː t̪ʰ
शोध,ʃ oː d̪ʱ
शोधक,ʃ oː d̪ʱ ə k
शोधन,ʃ oː d̪ʱ ə n
शोधना,ʃ oː d̪ʱ n ɑː
शोधनी,ʃ oː d̪ʱ ə n iː
शोधनीय,ʃ oː d̪ʱ ə n iː j ə
शोभन,ʃ oː bʱ ə n
शोभना,ʃ oː bʱ n ɑː
शोभनीय,ʃ oː bʱ ə n iː j ə
शोभा,ʃ oː bʱ ɑː
शोभायमान,ʃ oː bʱ ɑː j ə m ɑː n
शोभित,ʃ oː bʱ ɪ t̪
शोर,ʃ oː ɾ
शोरबा,ʃ oː ɾ b ɑː
शोरा,ʃ oː ɾ ɑː
शोला,ʃ oː l ɑː
शोला,ʃ oː l ɑː
शोशा,ʃ oː ʃ ɑː
शोष,ʃ oː ʃ
शोषक,ʃ oː ʃ ə k
शोषण,ʃ oː ʃ ə n
शोषित,ʃ oː ʃ ɪ t̪
शोहदा,ʃ oː ɦ d̪ ɑː
शोहदापन,ʃ oː ɦ d̪ ɑː p ə n
शोहरत,ʃ oː ɦ ɾ ə t̪
शौक़,ʃ ɔː q
शौकत,ʃ ɔː k ə t̪
शौक़िया,ʃ ɔː q ɪ j ɑː
शौक़ीन,ʃ ɔː q iː n
शौक़ीनी,ʃ ɔː q iː n iː
शौच,ʃ ɔː t͡ʃ
शौनिक,ʃ ɔː n ɪ k
शौर्य,ʃ ɔː ɾ j ə
शौहर,ʃ ɔː ɦ ə ɾ
शौहरी,ʃ ɔː ɦ ə ɾ iː
श्मशान,ʃ m ə ʃ ɑː n
श्मशानक,ʃ m ə ʃ ɑː n ə k
श्मशानी,ʃ m ə ʃ ɑː n iː
श्मश्रु,ʃ m ə ʃ ɾ ʊ
श्याम,ʃ j ɑː m
श्यामता,ʃ j ɑː m ə t̪ ɑː
श्यामल,ʃ j ɑː m ə l
श्यामला,ʃ j ɑː m ə l ɑː
श्यामली,ʃ j ɑː m ə l iː
श्यामा,ʃ j ɑː m ɑː
श्यामायमान,ʃ j ɑː m ɑː j ə m ɑː n
श्याल,ʃ j ɑː l
श्याल,ʃ j ɑː l
श्यालक,ʃ j ɑː l ə k
श्येन,ʃ j eː n
श्रद्धा,ʃ ɾ ə d̪ d̪ʱ ɑː
श्रद्धालु,ʃ ɾ ə d̪ d̪ʱ ɑː l ʊ
श्रद्धालुता,ʃ ɾ ə d̪ d̪ʱ ɑː l ʊ t̪ ɑː
श्रद्धेय,ʃ ɾ ə d̪ d̪ʱ eː j ə
श्रप,ʃ ɾ ə p
श्रम,ʃ ɾ ə m
श्रमण,ʃ ɾ ə m ə n
श्रमिक,ʃ ɾ ə m ɪ k
श्रमित,ʃ ɾ ə m ɪ t̪
श्रमी,ʃ ɾ ə m iː
श्रवण,ʃ ɾ ə ʋ ə n
श्रवणा,ʃ ɾ ə ʋ ə n ɑː
श्रविष्ठा,ʃ ɾ ə ʋ ɪ ʃ ʈʰ ɑː
श्रव्य,ʃ ɾ ə ʋ j ə
श्रव्यता,ʃ ɾ ə ʋ j ə t̪ ɑː
श्रांत,ʃ ɾ ɑː n t̪
श्रांति,ʃ ɾ ɑː n t̪ ɪ
श्राद्ध,ʃ ɾ ɑː d̪ d̪ʱ
श्राप,ʃ ɾ ɑː p
श्रावक,ʃ ɾ ɑː ʋ ə k
श्रावण,ʃ ɾ ɑː ʋ ə n
श्रावणी,ʃ ɾ ɑː ʋ ə n iː
श्री,ʃ ɾ iː
श्रुत,ʃ ɾ ʊ t̪
श्रुति,ʃ ɾ ʊ t̪ ɪ
श्रेणी,ʃ ɾ eː n iː
श्रेय,ʃ ɾ eː j
श्रेयस्-,ʃ ɾ eː j ə s -
श्रेष्ठ,ʃ ɾ eː ʃ ʈʰ
श्रेष्ठता,ʃ ɾ eː ʃ ʈʰ ə t̪ ɑː
श्रेष्ठी,ʃ ɾ eː ʃ ʈʰ iː
श्रोणी,ʃ ɾ oː n iː
श्रोत,ʃ ɾ oː t̪
श्रोतव्य,ʃ ɾ oː t̪ ə ʋ j ə
श्रोता,ʃ ɾ oː t̪ ɑː
श्रोत्र,ʃ ɾ oː t̪ ɾ ə
श्लथ,ʃ l ə t̪ʰ
श्लाघन,ʃ l ɑː gʱ ə n
श्लाघनीय,ʃ l ɑː gʱ ə n iː j ə
श्लाघा,ʃ l ɑː gʱ ɑː
श्लाघ्य,ʃ l ɑː gʱ j ə
श्लील,ʃ l iː l
श्लेष,ʃ l eː ʃ
श्लेष्मा,ʃ l eː ʃ m ɑː
श्लोक,ʃ l oː k
श्वपच,ʃ ʋ ə p ə t͡ʃ
श्वशुर,ʃ ʋ ə ʃ ʊ ɾ
श्वश्रू,ʃ ʋ ə ʃ ɾ uː
श्वान,ʃ ʋ ɑː n
श्वानी,ʃ ʋ ɑː n iː
श्वापद,ʃ ʋ ɑː p ə d̪
श्वास,ʃ ʋ ɑː s
श्वेत,ʃ ʋ eː t̪
श्वेतता,ʃ ʋ eː t̪ ə t̪ ɑː
श्वेती,ʃ ʋ eː t̪ iː
ष,ʃ ə
षट्-,ʃ ə ʈ -
षड्-,ʃ ə ɖ -
षन-,ʃ ə n -
षष्ट,ʃ ə ʃ ʈ
षष्टि,ʃ ə ʃ ʈ ɪ
षष्ठ,ʃ ə ʃ ʈʰ
षष्ठी,ʃ ə ʃ ʈʰ iː
स,s ə
शंक-,ʃ ə ~ k -
संकट,s ə ~ - k ə ʈ
सँकड़ा,s ə ~ k ɽ ɑː
सँकड़ाना,s ə ~ k ɽ ɑː n ɑː
संकर,s ə ~ - k ə ɾ
संकर्षण,s ə ~ - k ə ɾ ʃ ə n
संकल,s ə ~ k ə l
संकल,s ə ~ - k ə l
संकलन,s ə ~ - k ə l ə n
संकलप-,s ə ~ - k ə l p -
संकलित,s ə ~ - k ə l ɪ t̪
सँकली,s ə ~ k l iː
संकल्प,s ə ~ - k ə l p
संकल्प-,s ə ~ - k ə l p -
संकल्पना,s ə ~ - k ə l p ə n ɑː
संकल्पित,s ə ~ - k ə l p ɪ t̪
संकाय,s ə ~ - k ɑː j
संकार,s ə ~ - k ɑː ɾ
संकारना,s ə ~ k ɑː ɾ n ɑː
संकास,s ə ~ - k ɑː s
संकीर्ण,s ə ~ - k iː ɾ n
संकीर्णता,s ə ~ - k iː ɾ n ə t̪ ɑː
संकीर्तन,s ə ~ - k iː ɾ t̪ ə n
संकुचित,s ə ~ - k ʊ t͡ʃ ɪ t̪
संकुल,s ə ~ - k ʊ l
संकुलता,s ə ~ - k ʊ l ə t̪ ɑː
संकुलित,s ə ~ - k ʊ l ɪ t̪
संकुश,s ə ~ k ʊ ʃ
संकेत,s ə ~ - k eː t̪
संकेतन,s ə ~ - k eː t̪ ə n
संकेतित,s ə ~ - k eː t̪ ɪ t̪
संकोच,s ə ~ - k oː t͡ʃ
संकोचन,s ə ~ - k oː t͡ʃ ə n
संकोचित,s ə ~ - k oː t͡ʃ ɪ t̪
संकोची,s ə ~ - k oː t͡ʃ iː
संक्रम,s ə ~ - k ɾ ə m
संक्रमण,s ə ~ - k ɾ ə m ə n
संक्रांत,s ə ~ - k ɾ ɑː n t̪
संक्रांति,s ə ~ - k ɾ ɑː n t̪ ɪ
संक्रामक,s ə ~ - k ɾ ɑː m ə k
संक्रिया,s ə ~ - k ɾ ɪ j ɑː
संक्षय,s ə ~ - k ʃ ə j
संक्षिप्त,s ə ~ - k ʃ ɪ p t̪
संक्षिप्ति,s ə ~ - k ʃ ɪ p t̪ ɪ
संक्षेप,s ə ~ - k ʃ eː p
संक्षेपक,s ə ~ - k ʃ eː p ə k
संक्षेपण,s ə ~ - k ʃ eː p ə n
संक्षोभ,s ə ~ - k ʃ oː bʱ
संखा,s ə ~ kʰ ɑː
संखिया,s ə ~ kʰ ɪ j ɑː
संख्या,s ə ~ - kʰ j ɑː
संख्येय,s ə ~ - kʰ j eː j ə
संग,s ə ŋ g
संग,s ə ŋ g
संगठन,s ə ~ - g ə ʈʰ ə n
संगठित,s ə ~ - g ə ʈʰ ɪ t̪
संगत,s ə ~ - g ə t̪
संगतरा,s ə ŋ g t̪ ə ɾ ɑː
संगति,s ə ~ - g ə t̪ ɪ
संगतिया,s ə ~ - g ə t̪ ɪ j ɑː
संगम,s ə ~ - g ə m
संगमन,s ə ~ - g ə m ə n
संगर,s ə ~ - g ə ɾ
सँगवान,s ə ŋ g ʋ ɑː n ɑː
संगाती,s ə ŋ g ɑː t̪ iː
संगी,s ə ŋ g iː
संगी,s ə ŋ g iː
संगीत,s ə ~ - g iː t̪
संगीन,s ə ŋ g iː n
संगीनी,s ə ŋ g iː n iː
संगोपन,s ə ~ - g oː p ə n
संगोष्ठि,s ə ~ - g oː ʃ ʈʰ ɪ
संग्रह,s ə ~ - g ɾ ə ɦ
संग्रहण,s ə ~ - g ɾ ə ɦ ə n
संग्रहणी,s ə ~ - g ɾ ə ɦ ə n iː
संग्रहणीय,s ə ~ - g ɾ ə ɦ ə n iː j ə
संग्रही,s ə ~ - g ɾ ə ɦ iː
संग्रहीत,s ə ~ - g ɾ ə ɦ iː t̪
संग्रह्य,s ə ~ - g ɾ ə ɦ j ə
संग्राम,s ə ~ - g ɾ ɑː m
संग्राहक,s ə ~ - g ɾ ɑː ɦ ə k
संघ,s ə ~ - gʱ
संघट,s ə ~ - gʱ ə ʈ
संघटन,s ə ~ - gʱ ə ʈ ə n
संघटित,s ə ~ - gʱ ə ʈ ɪ t̪
संघटित,s ə ~ - gʱ ə ʈ ɪ t̪
संघर्ष,s ə ~ - gʱ ə ɾ ʃ
संघर्षी,s ə ~ - gʱ ə ɾ ʃ iː
संघात,s ə ~ - gʱ ɑː t̪
संघाती,s ə ~ - gʱ ɑː t̪ iː
संघार,s ə ŋ gʱ ɑː ɾ
संघीय,s ə ŋ gʱ iː j ə
संचन,s ə n t͡ʃ ə n
संचना,s ə n t͡ʃ n ɑː
संचय,s ə n - t͡ʃ ə j
संचयन,s ə n - t͡ʃ ə j ə n
संचयी,s ə n - t͡ʃ ə j iː
सँचर-,s ə n t͡ʃ ə ɾ -
